TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Atlanta Hawks (cyber) - Boston Celtics (cyber),202.52173913043478,205.19157222662764,9.658671015641994,46.0
Atlanta Hawks (cyber) - Brooklyn Nets (cyber),199.56756756756758,200.7538323749831,10.385445868241874,37.0
Atlanta Hawks (cyber) - Cleveland Cavaliers (cyber),209.86,207.69445501620655,9.228887197406948,50.0
Atlanta Hawks (cyber) - Miami Heat (cyber),202.40350877192984,204.11895346891106,11.392225621170757,57.0
Atlanta Hawks (cyber) - Milwaukee Bucks (cyber),222.30769230769232,220.32711626204429,8.692785928560692,39.0
Atlanta Hawks (cyber) - New York Knicks (cyber),212.4318181818182,209.88092996993726,10.135285460011408,44.0
Atlanta Hawks (cyber) - Philadelphia 76ers (cyber),205.89795918367346,205.7530574653538,9.749812808243645,49.0
Boston Celtics (cyber) - Atlanta Hawks (cyber),205.3877551020408,204.8664763366566,9.922483938165113,49.0
Boston Celtics (cyber) - Brooklyn Nets (cyber),192.2,194.56671228118358,10.10444748541224,45.0
Boston Celtics (cyber) - Cleveland Cavaliers (cyber),201.34615384615384,202.2263213277732,10.338868100853302,26.0
Boston Celtics (cyber) - Denver Nuggets (cyber),205.46666666666667,206.0453166187337,9.075729990413416,15.0
Boston Celtics (cyber) - Memphis Grizzlies (cyber),198.5,197.98121889688485,8.61737147881616,18.0
Boston Celtics (cyber) - Miami Heat (cyber),198.58333333333334,199.21803327264752,8.398497227279373,24.0
Boston Celtics (cyber) - Milwaukee Bucks (cyber),218.42307692307693,214.68873716438793,7.441927026342175,26.0
Boston Celtics (cyber) - New York Knicks (cyber),202.94736842105263,203.40263948305972,11.578947368421053,38.0
Boston Celtics (cyber) - Philadelphia 76ers (cyber),199.11764705882354,200.85754367011955,12.781630491211633,17.0
Boston Celtics (cyber) - Phoenix Suns (cyber),204.3793103448276,204.82331522191757,9.227247000094522,29.0
Boston Celtics (cyber) - Sacramento Kings (cyber),207.84,207.86222765475975,9.37653268142883,25.0
Brooklyn Nets (cyber) - Atlanta Hawks (cyber),199.95454545454547,200.2066420505396,11.518785640958145,44.0
Brooklyn Nets (cyber) - Boston Celtics (cyber),194.88235294117646,195.93269268235602,6.596153802075762,34.0
Brooklyn Nets (cyber) - Cleveland Cavaliers (cyber),197.26666666666668,197.17133713063387,8.466666666666667,30.0
Brooklyn Nets (cyber) - Miami Heat (cyber),191.5818181818182,193.768871020955,7.281046931463728,55.0
Brooklyn Nets (cyber) - Milwaukee Bucks (cyber),218.77777777777777,212.46358205070644,11.147164197808012,27.0
Brooklyn Nets (cyber) - New York Knicks (cyber),198.95,198.84539752974123,8.142269876487061,40.0
Brooklyn Nets (cyber) - Philadelphia 76ers (cyber),193.77777777777777,195.69104967811953,8.854561075346616,36.0
Cleveland Cavaliers (cyber) - Atlanta Hawks (cyber),205.1875,206.59752733724767,9.045730305718653,48.0
Cleveland Cavaliers (cyber) - Boston Celtics (cyber),204.14634146341464,202.90653406212454,8.328471455838471,41.0
Cleveland Cavaliers (cyber) - Brooklyn Nets (cyber),199.1891891891892,197.88732067407392,10.129425818418436,37.0
Cleveland Cavaliers (cyber) - Denver Nuggets (cyber),206.54545454545453,208.02386643417606,11.642872663866205,11.0
Cleveland Cavaliers (cyber) - Memphis Grizzlies (cyber),200.0,199.58206247699488,11.773991074715022,7.0
Cleveland Cavaliers (cyber) - Miami Heat (cyber),202.8409090909091,201.51919048688825,9.928329002383949,44.0
Cleveland Cavaliers (cyber) - Milwaukee Bucks (cyber),215.19565217391303,215.73948062016984,9.097368722616078,46.0
Cleveland Cavaliers (cyber) - New York Knicks (cyber),205.2,205.52174228309167,9.026087114154585,40.0
Cleveland Cavaliers (cyber) - Philadelphia 76ers (cyber),201.8095238095238,202.64740753921333,7.809523809523809,42.0
Cleveland Cavaliers (cyber) - Phoenix Suns (cyber),204.22222222222223,206.8646299975782,7.8136833319878845,9.0
Cleveland Cavaliers (cyber) - Sacramento Kings (cyber),213.55555555555554,210.5857673227756,9.804744225741464,9.0
Denver Nuggets (cyber) - Boston Celtics (cyber),205.08,204.58853142217694,9.475211201790456,25.0
Denver Nuggets (cyber) - Cleveland Cavaliers (cyber),206.25,206.19227249841916,11.95193187539521,16.0
Denver Nuggets (cyber) - Golden State Warriors (cyber),206.57142857142858,204.60982368258095,10.742155451244217,28.0
Denver Nuggets (cyber) - Los Angeles Clippers (cyber),203.64285714285714,202.39762675034814,7.901017106993643,14.0
Denver Nuggets (cyber) - Los Angeles Lakers (cyber),203.11111111111111,205.53681194014553,8.79220608072457,27.0
Denver Nuggets (cyber) - Memphis Grizzlies (cyber),206.0625,202.54173958931773,11.3125,16.0
Denver Nuggets (cyber) - Milwaukee Bucks (cyber),218.25,217.40500661830714,6.768998676338572,20.0
Denver Nuggets (cyber) - Minnesota Timberwolves (cyber),199.55555555555554,199.15533004185693,8.316074439793672,18.0
Denver Nuggets (cyber) - Philadelphia 76ers (cyber),196.14285714285714,202.92627879889963,13.111262342385569,7.0
Denver Nuggets (cyber) - Phoenix Suns (cyber),207.73333333333332,208.84708829071872,9.676860780618748,15.0
Denver Nuggets (cyber) - Sacramento Kings (cyber),212.11428571428573,212.1096397651363,9.60313256471818,35.0
Golden State Warriors (cyber) - Denver Nuggets (cyber),202.83333333333334,205.7952432568308,11.765081085610262,12.0
Golden State Warriors (cyber) - Los Angeles Clippers (cyber),198.44827586206895,199.6596938532957,10.574472201837784,29.0
Golden State Warriors (cyber) - Los Angeles Lakers (cyber),204.7037037037037,203.3681707487589,7.561449861340934,27.0
Golden State Warriors (cyber) - Memphis Grizzlies (cyber),201.71428571428572,199.35600380196425,7.561712656301024,14.0
Golden State Warriors (cyber) - Minnesota Timberwolves (cyber),191.5,195.00911363086385,10.074032465961116,14.0
Golden State Warriors (cyber) - Phoenix Suns (cyber),206.1081081081081,205.95019674556454,10.652686750359631,37.0
Golden State Warriors (cyber) - Sacramento Kings (cyber),209.11111111111111,208.96253171289698,7.846942330251316,45.0
Los Angeles Clippers (cyber) - Denver Nuggets (cyber),207.9,206.71080211497622,8.443786102672993,30.0
