TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Atlanta Hawks (cyber) - Boston Celtics (cyber),202.52173913043478,205.67214036558312,9.784036617108654,46.0
Atlanta Hawks (cyber) - Brooklyn Nets (cyber),199.1,200.05789944660341,10.255789944660341,40.0
Atlanta Hawks (cyber) - Cleveland Cavaliers (cyber),209.86,206.60254831462177,9.451286471905911,50.0
Atlanta Hawks (cyber) - Miami Heat (cyber),202.48275862068965,204.34510561835128,11.253279504081078,58.0
Atlanta Hawks (cyber) - Milwaukee Bucks (cyber),222.46341463414635,221.12152586303677,8.430132253924137,41.0
Atlanta Hawks (cyber) - New York Knicks (cyber),211.82978723404256,209.35602016028895,10.01080550804206,47.0
Atlanta Hawks (cyber) - Philadelphia 76ers (cyber),205.89795918367346,205.72512205546508,9.751523139461321,49.0
Boston Celtics (cyber) - Atlanta Hawks (cyber),205.3877551020408,204.34218902277107,10.018781608062456,49.0
Boston Celtics (cyber) - Brooklyn Nets (cyber),192.2,194.0853480584977,10.07235653723318,45.0
Boston Celtics (cyber) - Cleveland Cavaliers (cyber),202.10714285714286,201.71469227430717,10.566384610615318,28.0
Boston Celtics (cyber) - Denver Nuggets (cyber),205.3125,205.9723790555209,8.684047381940111,16.0
Boston Celtics (cyber) - Memphis Grizzlies (cyber),198.5,198.2579756422654,8.582447150859403,18.0
Boston Celtics (cyber) - Miami Heat (cyber),198.64,199.3271858173133,8.080737701922404,25.0
Boston Celtics (cyber) - Milwaukee Bucks (cyber),218.42307692307693,215.07412008083554,7.3233476674352005,26.0
Boston Celtics (cyber) - New York Knicks (cyber),202.94736842105263,202.81520864900236,11.588673228999877,38.0
Boston Celtics (cyber) - Philadelphia 76ers (cyber),199.11764705882354,200.95092817597828,12.809096522346552,17.0
Boston Celtics (cyber) - Phoenix Suns (cyber),204.3793103448276,204.07801355955212,9.458547516001074,29.0
Boston Celtics (cyber) - Sacramento Kings (cyber),207.03846153846155,207.65966865743928,9.83387164173544,26.0
Brooklyn Nets (cyber) - Atlanta Hawks (cyber),199.75555555555556,199.73532495609834,11.438562776802184,45.0
Brooklyn Nets (cyber) - Boston Celtics (cyber),194.68571428571428,196.68882029476632,6.726974327823755,35.0
Brooklyn Nets (cyber) - Cleveland Cavaliers (cyber),196.96774193548387,196.9987162273426,8.483829555720728,31.0
Brooklyn Nets (cyber) - Miami Heat (cyber),191.5818181818182,193.8036855943668,7.288009846146096,55.0
Brooklyn Nets (cyber) - Milwaukee Bucks (cyber),218.77777777777777,212.9744890417621,10.9011719428553,27.0
Brooklyn Nets (cyber) - New York Knicks (cyber),198.95,198.3303204199457,8.116516020997285,40.0
Brooklyn Nets (cyber) - Philadelphia 76ers (cyber),193.77777777777777,195.91493870142918,8.879437633492127,36.0
Cleveland Cavaliers (cyber) - Atlanta Hawks (cyber),205.1875,206.03751331642385,9.022396388184328,48.0
Cleveland Cavaliers (cyber) - Boston Celtics (cyber),203.76190476190476,203.1021811556722,8.481056245508197,42.0
Cleveland Cavaliers (cyber) - Brooklyn Nets (cyber),198.97435897435898,196.95857694073914,10.086482244444836,39.0
